Video Title,Notes,Image 1,Image 2,Image 3,image 4,Credit Image,MP3,Youtube tags,Data record number
Juan Florer - La Cumparsita - 4 Star 1001-A,Title: La Cumparsita ;Artist: Juan Florer ;Accompaniment: Speigener - Guitar; Erwin - Bass    ;Record Label: 4 Star ;Matrix Number: V-103 ;Recording Format: 78 ;Notes: Internationally famous novelty singer and pianist with his Dusketeers; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/la-cumparsita;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1001-A_V-103.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1001-A_V-103.mp3,Frontera Collection; tango,3
Juan Florer - Belle of Santiago - 4 Star 1001-B,Title: Belle of Santiago ;Artist: Juan Florer ;Accompaniment: Speigener - Guitar; Erwin - Bass    ;Record Label: 4 Star ;Matrix Number: V-104-ME-R ;Recording Format: 78 ;Notes: Internationally famous novelty singer and pianist with his Dusketeers.; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/belle-santiago;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1001-B_V-104-ME-R.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1001-B_V-104-ME-R.mp3,Frontera Collection; rhumba,4
Juan Florer - Tico Tico - 4 Star 1002-A,Title: Tico Tico ;Artist: Juan Florer ;Accompaniment: International Trio: Jose Boroso - Guitar; Michael Somogyi - Bass; Danny Van Allen - Drums ;Record Label: 4 Star ;Matrix Number: V-105 ;Recording Format: 78; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/tico-tico;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1002-A_V-105.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1002-A_V-105.mp3,Frontera Collection; rhumba,5
Juan Florer - No Puedo Vivir Sin Ti - 4 Star 1002-B,Title: No Puedo Vivir Sin Ti ;Artist: Juan Florer ;Accompaniment: International Trio: Jose Boroso - Guitar; Michael Somogyi - Bass; Danny Van Allen - Drums ;Record Label: 4 Star ;Matrix Number: V-106 ;Recording Format: 78 ;Notes: I Can’t Live Without You; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/no-puedo-vivir-sin-ti;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1002-B_V-106.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1002-B_V-106.mp3,Frontera Collection; rhumba,6
Juan Florer - El Choclo De Noche - 4 Star 1003-A,Title: El Choclo De Noche ;Artist: Juan Florer ;Accompaniment: International Trio: Jose Boroso - Guitar; Michael Somogyi - Bass; Danny Van Allen - Drums ;Record Label: 4 Star ;Matrix Number: V-107 ;Recording Format: 78 ;Notes: The Night Owl.  This is sung in English as well as Spanish. ; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/el-choclo-de-noche;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1003-A_V-107.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1003-A_V-107.mp3,Frontera Collection; calypso,7
Juan Florer - Nague - 4 Star 1003-B,Title: Nague ;Artist: Juan Florer ;Accompaniment: International Trio: Jose Boroso - Guitar; Michael Somogyi - Bass; Danny Van Allen - Drums ;Record Label: 4 Star ;Matrix Number: V-108 ;Recording Format: 78; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/nague;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1003-B_V-108.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1003-B_V-108.mp3,Frontera Collection; samba,8
Juan Florer - Ba Ba Rum - 4 Star 1004,"Title: Ba Ba Rum ;Artist: Juan Florer ;Accompaniment: Michael Somogyi - Bass, Ivan Lopes - Trumpet, Dann Van Allen - Drums, Lou Bonkowski - Guitar  ;Record Label: 4 Star ;Matrix Number: V-109-ME ;Recording Format: 78; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/ba-ba-rum;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org",frontera\4Stjpg\4St_1004_V-109-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1004_V-109-ME.mp3,Frontera Collection; rhumba,9
Juan Florer - Lovely Lady of Castilia - 4 Star 1004,"Title: Lovely Lady of Castilia ;Artist: Juan Florer ;Accompaniment: Michael Somogyi - Bass, Ivan Lopes - Trumpet, Dann Van Allen - Drums, Lou Bonkowski - Guitar  ;Record Label: 4 Star ;Matrix Number: V-110-ME ;Recording Format: 78; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/lovely-lady-castilia;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org",frontera\4Stjpg\4St_1004_V-110-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1004_V-110-ME.mp3,Frontera Collection; bolero,10
Juan Florer - Tango Of Delight - 4 Star 1005,"Title: Tango Of Delight ;Artist: Juan Florer ;Accompaniment: Michael Somogyi - Bass, Ivan Lopes - Trumpet, Dann Van Allen - Drums, Lou Bonkowski - Guitar  ;Record Label: 4 Star ;Matrix Number: V-111-ME ;Recording Format: 78 ;Notes: This is sung in English.; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/tango-delight;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org",frontera\4Stjpg\4St_1005_V-111-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1005_V-111-ME.mp3,Frontera Collection; tango bolero,11
Juan Florer - Acabasta - 4 Star 1005,"Title: Acabasta ;Artist: Juan Florer ;Accompaniment: Michael Somogyi - Bass, Ivan Lopes - Trumpet, Dann Van Allen - Drums, Lou Bonkowski - Guitar  ;Record Label: 4 Star ;Matrix Number: V-112-ME ;Recording Format: 78; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/acabasta;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org",frontera\4Stjpg\4St_1005_V-112-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1005_V-112-ME.mp3,Frontera Collection; rhumba,12
